Name,Household Income,Per Capita Income,Population,Median Age,Median Rent,Average Year Home Built,Median Home Value,Median Mortgage Cost,state,Zipcode
ZCTA5 77036,27204.0,14688.0,75302.0,29.8,578.0,1975.0,618016900.0,1275.0,48,77036
ZCTA5 77037,37521.0,13002.0,20832.0,30.9,634.0,1970.0,,1127.0,48,77037
ZCTA5 77038,40603.0,13756.0,28811.0,27.8,700.0,1986.0,385182000.0,1242.0,48,77038
ZCTA5 77039,36604.0,12141.0,29660.0,26.9,628.0,1973.0,375790800.0,1178.0,48,77039
ZCTA5 77040,51998.0,28575.0,47051.0,33.0,779.0,1985.0,1353391500.0,1391.0,48,77040
ZCTA5 77041,75185.0,34091.0,36368.0,35.6,1037.0,1994.0,1758993200.0,1493.0,48,77041
ZCTA5 77042,44520.0,33552.0,39384.0,31.8,770.0,1979.0,,1682.0,48,77042
ZCTA5 77043,58655.0,28118.0,25104.0,35.0,711.0,1975.0,831414600.0,1411.0,48,77043
ZCTA5 77044,73716.0,28465.0,37753.0,29.9,863.0,2003.0,1562945000.0,1663.0,48,77044
ZCTA5 77045,40488.0,15810.0,33917.0,30.5,687.0,1973.0,589521800.0,1174.0,48,77045
ZCTA5 77046,98047.0,108372.0,961.0,41.0,1662.0,1996.0,89950000.0,2750.0,48,77046
ZCTA5 77047,50180.0,22035.0,25073.0,32.7,879.0,2002.0,804283900.0,1301.0,48,77047
ZCTA5 77048,40407.0,16776.0,16428.0,33.3,610.0,1974.0,315701200.0,1061.0,48,77048
ZCTA5 77049,52287.0,19783.0,31111.0,29.6,786.0,1997.0,775338400.0,1404.0,48,77049
ZCTA5 77050,54500.0,22380.0,4805.0,28.2,531.0,1973.0,76767600.0,1013.0,48,77050
ZCTA5 77051,23832.0,13293.0,15141.0,34.3,608.0,1969.0,,1134.0,48,77051
ZCTA5 77053,46289.0,16116.0,31028.0,29.6,820.0,1980.0,,1100.0,48,77053
ZCTA5 77054,46019.0,32620.0,22862.0,29.1,876.0,1988.0,267181500.0,1547.0,48,77054
ZCTA5 77055,45332.0,31021.0,43691.0,32.9,728.0,1971.0,2307621400.0,2195.0,48,77055
ZCTA5 77056,93143.0,81387.0,18685.0,40.5,1206.0,1991.0,3689299300.0,3000.0,48,77056
ZCTA5 77057,56792.0,50463.0,39905.0,34.1,862.0,1976.0,,2069.0,48,77057
ZCTA5 77058,51868.0,34923.0,16881.0,35.8,833.0,1981.0,,1462.0,48,77058
ZCTA5 77059,128406.0,56500.0,18079.0,45.0,1259.0,1993.0,1538755700.0,2130.0,48,77059
